Price,Close,High,Low,Open,Volume
Ticker,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS,TRENT.NS
Date,,,,,
2019-09-24,512.2423706054688,520.3424023551855,505.881556630888,511.84479698410075,361445
2019-09-25,514.6773681640625,516.8142204554354,508.8632324484286,513.3853447451688,234480
2019-09-26,506.2791442871094,525.7590705474275,500.9122335650349,511.9939471236712,393177
2019-09-27,494.7502136230469,506.8754823929264,493.95512695938123,505.68282206681585,68032
2019-09-30,480.9353942871094,499.6699163620322,473.0837994795173,494.2532935004522,157886
2019-10-01,475.717529296875,486.3022756628345,473.08377067332435,477.65559469133166,79281
2019-10-03,496.5391540527344,496.9366973444882,478.15249625098835,478.5500395427421,166739
2019-10-04,486.9980163574219,501.90611889897565,482.2274356763696,496.09195284164724,118615
2019-10-07,485.1593322753906,488.936069690592,475.0715225386524,487.89248434020504,44818
2019-10-09,501.01165771484375,503.6950980751973,477.25808616857915,486.5010979608192,122255
2019-10-10,494.849609375,503.3472459947804,491.072902208839,502.70120395556336,178112
2019-10-11,504.49017333984375,506.8257820322332,494.84958866513466,495.44591880604844,82764
2019-10-14,502.60186767578125,507.5215235627215,499.0735983657271,507.4718420173376,157195
2019-10-15,501.8564147949219,506.8754636260333,498.4275392322661,503.3969065227174,135526
2019-10-16,502.7012023925781,505.43435450792657,499.3220385706333,502.899989224121,30341
2019-10-17,497.48333740234375,504.83802511015625,488.190645018848,503.8938332115394,92914
2019-10-18,516.5658569335938,519.0008596372453,497.4834697111588,497.4834697111588,177961
2019-10-22,517.1123657226562,521.8829463517098,512.2921035512505,517.758407756905,81390
2019-10-23,522.9761962890625,535.6977637030128,514.0810172085035,518.8019158682239,172278
2019-10-24,534.1573486328125,545.6365759397364,509.4595546548332,525.7591050494,298536
2019-10-25,540.6671752929688,542.6052407190026,526.5044781460482,533.5112740759643,140932
2019-10-27,542.7542724609375,551.5997705230023,537.685542077377,545.4377429362668,39630
2019-10-29,533.6107788085938,551.4010804754403,526.7530264637239,545.5372624266403,98901
2019-10-30,534.4555053710938,549.6120771180192,530.8278426229123,531.7223530888613,116461
2019-10-31,538.3316040039062,550.5065543441774,536.6916884690943,536.6916884690943,154082
2019-11-01,544.0960083007812,555.5752340089734,537.6855126992033,538.778749181424,177483
2019-11-04,530.4302978515625,548.7672760162627,528.3431271096705,548.4193838953353,84217
2019-11-05,545.5371704101562,564.420766286942,516.8142029436091,534.3560939041647,195548
2019-11-06,534.4058227539062,553.7366755344525,531.7223520226678,551.5998231263189,173245
2019-11-07,537.586181640625,546.6304059102881,534.405774419448,534.405774419448,126492
2019-11-08,513.1865844726562,545.5372171294473,510.10560072497503,531.7223504877967,260854
2019-11-11,507.76995849609375,516.6154264652106,497.98029858198186,511.84484585934877,142753
2019-11-13,499.322021484375,513.8325801027211,496.9367312405426,509.5589363462968,120026
2019-11-14,495.5453186035156,506.42821491033226,492.71277314563326,500.3158991310775,93999
2019-11-15,496.4894714355469,502.3533490741721,489.9796124490463,501.90609388796827,91939
2019-11-18,506.974853515625,511.8448273603097,479.6433336080356,496.93672559253366,304042
2019-11-19,503.049072265625,516.5160765578287,498.97418479841554,509.85711189210014,82304
2019-11-20,493.8060607910156,505.6828310679675,488.09128809368616,505.6828310679675,206455
2019-11-21,489.929931640625,495.6447040053135,487.99186627166023,493.85571358843583,93824
2019-11-22,500.1171569824219,503.8938641475353,487.49495140900603,490.0293166999884,268733
2019-11-25,503.049072265625,506.87549135471943,497.9306297425773,503.59572089584566,133306
2019-11-26,502.8999938964844,509.8571084365543,500.1171602127014,505.2852842441002,102419
2019-11-27,502.0551452636719,504.88769053852366,498.2784384509424,504.88769053852366,73094
2019-11-28,512.043701171875,514.6774298682163,500.0675058521399,501.9061781153192,70188
2019-11-29,517.4105224609375,524.8645737487606,511.79517355417886,511.8448550971861,181290
2019-12-02,523.175048828125,525.7590957335917,510.950355918193,517.8081075183389,152547
2019-12-03,516.8638916015625,526.7529448686046,516.0191234073003,524.7651979068362,201737
2019-12-04,509.1116943359375,524.7652017752562,504.887732011042,524.2682650311508,119520
2019-12-05,499.1232604980469,511.84482857106394,493.1600197768306,509.8074001235594,54481
2019-12-06,500.1668395996094,505.9312937757157,492.96125671417036,496.9367507199298,147064
2019-12-09,497.135498046875,506.8754454547418,494.94896438521846,501.8066849340724,66489
2019-12-10,495.3962097167969,501.90606837235305,491.96733434517773,497.1354881715526,37965
2019-12-11,493.8060607910156,499.86869528387024,487.94221313292184,499.86869528387024,77663
2019-12-12,502.35333251953125,511.79513001419787,493.40847173511025,493.9550899841365,99177
2019-12-13,502.25396728515625,511.7454771816369,497.73182476988706,499.6202086392365,336658
2019-12-16,508.31658935546875,509.75771799367385,503.9435219004783,504.88771381249,107043
2019-12-17,513.1367797851562,523.2742997182074,498.8747219965431,510.85088329564786,390685
2019-12-18,509.95648193359375,516.4664020579701,504.49020787112653,513.1368893490857,73609
2019-12-19,512.1926879882812,515.7209874700065,504.1423368394648,510.85098301722013,55026
2019-12-20,523.9204711914062,531.2254175897489,509.8571360590106,512.8387567377182,198512
2019-12-23,516.5159912109375,535.1014349552097,511.89445587715005,523.7712545208235,186297
2019-12-24,518.0068359375,526.4547599634875,515.7706207541504,519.0007093523221,97210
2019-12-26,521.5847778320312,523.6719484873865,511.9939353736666,520.093967647301,77993
2019-12-27,542.1082763671875,544.0960232339395,518.801932222276,524.5663860036128,413584
2019-12-30,541.0647583007812,564.0232119132907,538.6794376334864,546.3819572675445,555919
2019-12-31,523.9204711914062,548.4690995837836,519.1001480307588,542.4561766806354,384577
2020-01-01,526.4051513671875,531.4738822206493,520.7897415308466,523.771362188466,107849
2020-01-02,538.0333862304688,542.5555591110722,525.4609230562021,526.2560097110562,158640
2020-01-03,532.6168823242188,539.4745737136575,530.7284982345476,539.0770606735157,63423
2020-01-06,526.7032470703125,531.6229327810895,518.2056412032729,529.7345489612046,105970
2020-01-07,529.6849365234375,537.5365014076652,525.1628238672794,528.7407444903162,153960
2020-01-08,528.6910400390625,531.2750869702814,518.2056863579477,523.3737802203856,163181
2020-01-09,544.0960083007812,554.4322553274728,528.7406520443182,531.7222722626132,200543
2020-01-10,547.177001953125,555.5752445258764,539.6732697272824,545.3880419205271,156788
2020-01-13,542.1082763671875,554.4820127449628,537.6855274564202,547.6242617901803,79458
2020-01-14,557.7120971679688,561.5384855929193,538.8781836162808,543.748127006107,152033
2020-01-15,580.3724365234375,582.906801790281,551.5997868603682,557.7121330873645,568486
2020-01-16,587.876220703125,596.3241461062976,580.4221688767963,581.3166793604473,323010
2020-01-17,587.7767944335938,596.2744004700098,562.1845525806102,592.1498013049428,179399
2020-01-20,596.6222534179688,608.2009040253871,590.8081176733485,591.3547359693106,460984
2020-01-21,590.6589965820312,599.7032816398789,584.7454372482891,595.57868243653,217977
2020-01-22,582.608642578125,601.2934517566662,578.6331486822132,600.2498967412338,71955
2020-01-23,585.8884887695312,590.609388382178,578.7325866981153,586.4351071187496,82621
2020-01-24,579.726318359375,592.3485221549878,572.5704180400246,588.1742419135988,128325
2020-01-27,569.2410888671875,580.6706349553109,566.5079365417666,573.4650515519287,71115
2020-01-28,584.3479614257812,594.1375915545915,564.520172121317,569.5392213785306,283284
2020-01-29,578.682861328125,596.324116439459,574.4588988366788,587.7768283683172,134349
2020-01-30,578.4343872070312,591.3050613913915,575.3036613622968,582.6086681129353,88967
2020-01-31,587.180419921875,591.3547005284377,576.4465988344434,582.4098395120411,108209
2020-02-03,590.4105224609375,593.0939929609989,576.2975070609156,576.5459754283061,336150
2020-02-04,597.0694580078125,603.2811668926212,591.3546858337885,592.4976645330811,223685
2020-02-05,588.9694213867188,599.1069433833619,581.4160069287162,598.0633883236837,181054
2020-02-06,589.4662475585938,595.3301244680906,586.484627569605,592.3485044791018,160852
2020-02-07,658.4907836914062,674.2437128717821,616.2014842814318,616.2014842814318,2595009
2020-02-10,691.487548828125,697.3514272616229,638.2159487775791,660.925935998136,1105421
2020-02-11,672.8026733398438,710.2219739613029,665.7958773451758,696.208381971967,967825
2020-02-12,700.97900390625,720.5583250076694,669.3738370933315,671.7094156754172,1234720
2020-02-13,729.9007568359375,737.4541715250728,697.6992296638828,703.6624709430613,875161
2020-02-14,753.6542358398438,759.3193267185486,708.2342063894872,732.0871695324782,1068329
2020-02-17,745.206298828125,777.9544410565871,731.540538924544,748.3867059924754,848055
2020-02-18,722.943603515625,759.915648948898,711.414634593027,746.3989937003062,538830
2020-02-19,770.4010620117188,774.2274506935323,727.3662912554869,727.3662912554869,656923
2020-02-20,771.2954711914062,789.1355115765458,760.3131818086367,771.1464265720978,1076588
2020-02-24,791.0736694335938,798.0307843291392,762.4003809316445,771.146516757884,543365
2020-02-25,759.4187622070312,799.7700651012733,755.3439048794098,787.1478587690692,464607
2020-02-26,733.4785766601562,757.331538502763,730.4969564298304,750.3744246320027,580129
2020-02-27,729.6024780273438,744.1130668467177,723.5398742248385,728.6086045737383,283297
2020-02-28,732.6834716796875,755.3437727293237,675.8339019157107,710.5201073226364,741077
2020-03-02,727.3165893554688,773.2335555581318,718.7196202823077,745.9020352781208,370025
2020-03-03,721.5025024414062,749.3806428722465,715.5889427957792,730.4473642263536,338626
2020-03-04,679.461669921875,732.186649089453,669.7714029063561,730.4970519391171,752869
2020-03-05,680.6542358398438,702.3704080083232,675.8339736744493,690.692394492625,323635
2020-03-06,689.5493774414062,695.5126180546116,645.0238596617168,655.9564674525933,416766
2020-03-09,656.3043823242188,675.8340220796892,617.4439503191279,670.8646542702799,588633
2020-03-11,655.4098510742188,693.7236599916572,641.1974730375794,660.3792182661361,349780
2020-03-12,593.4915771484375,631.1096643746245,563.5262672447434,616.2015620665625,936391
2020-03-13,596.7713623046875,646.0177826831336,527.2498980206191,527.2498980206191,876985
2020-03-16,568.49560546875,584.3975804468969,526.7529211511145,566.5078585964817,669046
2020-03-17,533.5609130859375,576.4465747662223,521.7835375039082,562.5323470994514,560362
2020-03-18,486.004150390625,548.6678635797069,454.2001978088254,536.6916998178681,863336
2020-03-19,468.0149841308594,480.438401793765,419.5139737071196,448.2369092776355,1001487
2020-03-20,502.15460205078125,521.1873044533667,445.5038107259034,468.0150401599296,565163
2020-03-23,401.7236633300781,476.8604723920522,401.7236633300781,439.29206786106516,585178
2020-03-24,401.9223937988281,422.3961917472891,362.76378820649535,379.01362423748344,550672
2020-03-25,443.8638916015625,477.0592589722601,377.97006325765255,397.5493824768834,389470
2020-03-26,492.71282958984375,503.8939074171473,413.6998796102319,446.6467828752301,624724
2020-03-27,480.3390808105469,526.7529883295676,468.7604598690481,510.8013297774933,557689
2020-03-30,450.5725402832031,477.05926199227713,445.65285451166335,477.05926199227713,333640
2020-03-31,481.38262939453125,491.9673759627592,454.20018346460796,471.9905128120884,774403
2020-04-01,462.84686279296875,486.2525696494732,453.20627850824684,472.5868101549811,377302
2020-04-03,447.4915466308594,472.88500260837225,428.8564183702739,467.0708668555595,511693
2020-04-07,454.05108642578125,472.2389582173234,448.385995694325,469.1082629523019,508313
2020-04-08,459.765869140625,479.0470082185697,449.7277411180556,455.1940451537447,245875
2020-04-09,461.75360107421875,493.4581573859665,455.34310532638665,469.00886497202015,1338755
2020-04-13,451.0694580078125,465.03336743507225,430.3968726608575,464.18856896143586,683063
2020-04-15,451.6161193847656,461.1573111998506,445.25533495157987,452.75906786148755,1876608
2020-04-16,457.5296630859375,459.61680346234897,448.236939971623,451.6161037412069,289907
2020-04-17,485.6562805175781,498.9244978307944,462.6977965632259,467.1205457778354,1153738
2020-04-20,475.4194030761719,504.29141662207445,470.648791994668,487.3955668276335,398374
2020-04-21,470.5494079589844,476.9598736619429,454.7467954726236,467.1205323446356,273636
2020-04-22,470.6487731933594,475.0715223010003,457.18179970389156,465.8285110914054,340691
2020-04-23,495.843505859375,501.5085972018336,472.0899341844286,472.0899341844286,1142421
2020-04-24,482.7740173339844,491.9673465369475,475.2702850897557,491.9673465369475,199181
2020-04-27,490.9735107421875,502.2042691997942,475.91633322988054,480.04090220339384,709739
2020-04-28,488.7373046875,497.93063477058973,468.51197243858,492.9612671581088,1299395
2020-04-29,484.0660705566406,494.40237910398486,480.0408950595044,486.00413599192063,209084
2020-04-30,501.9061279296875,506.7761021147639,489.13484712317586,490.97351920250617,935890
2020-05-04,474.6242370605469,491.91765874091675,468.1143783264672,487.04765474437033,269260
2020-05-05,472.88494873046875,484.31449276140864,471.6426069879753,479.0469759054799,327042
2020-05-06,467.6174621582031,483.96669268046327,448.78354799004387,476.761110107356,751468
2020-05-07,462.5487365722656,472.3383969464848,461.107638146599,467.51810424135016,214394
2020-05-08,456.9830017089844,471.0960168785176,453.30568813002907,471.0960168785176,243041
2020-05-11,447.7897033691406,463.69167972697477,446.24921154172057,459.8652909303612,209138
2020-05-12,445.9510192871094,455.1940300354989,440.98165214698383,451.6160796284865,127876
2020-05-13,448.03814697265625,459.7161602146318,444.26143992877246,455.8897716296224,1007475
2020-05-14,447.39215087890625,454.1505088911716,442.42278336868713,448.0381625891123,305826
2020-05-15,438.6957702636719,449.62837909835184,437.3043533871989,447.29277023572945,346808
2020-05-18,411.9605407714844,437.15523853496984,403.36354158387104,436.3104400450703,381082
2020-05-19,400.9285583496094,422.19744489255163,398.5929495904356,418.91767451966024,179668
2020-05-20,420.855712890625,424.28455799989024,400.9285325710983,401.5248626907213,489102
2020-05-21,449.0320129394531,456.6848506428618,417.7249992392352,424.3839634918433,482949
